Model,Validation MAE,Validation MSE,Validation RMSE,Validation R²,Test MAE,Test MSE,Test RMSE,Test R²
Gradient Boosting,0.0791070237394819,0.01208627665352662,0.10993760345544476,0.9304276298589733,0.09843149705597554,0.020822989979345168,0.144301732419764,0.8809077132717458
Bayesian Ridge,0.09010486406498494,0.014014156663545692,0.11838140336871197,0.9193301524894315,0.10186556894782517,0.021159651112621507,0.14546357314675556,0.8789822575973121
Random Forest,0.08813790818462275,0.016407199652032647,0.1280905915828038,0.9055550522388657,0.10522045759506372,0.024862025823340718,0.1576769666861356,0.8578073796829601
Voting Regressor,0.08886364066687218,0.015935269219471155,0.12623497621289892,0.9082716306919496,0.10929450112555819,0.025988695191443652,0.16121009643146936,0.8513636541869026
Decision Tree,0.14555470229426737,0.042368437037508304,0.20583594690313037,0.756114089692774,0.15928298967848595,0.05781104886699169,0.24043928311944304,0.6693630446656248
Linear Regression,0.15077759922802095,0.039505444555560335,0.19875976593757685,0.7725943654944157,0.18079624704112382,0.06122164755775274,0.2474300862016435,0.6498569123763609
K-Nearest Neighbors,0.1579611496822284,0.04692420008776538,0.21661994388274913,0.7298896996433527,0.18735466298053063,0.06754723110174835,0.25989850153809724,0.6136791967892959
